ts,occ
416.14368238292093,4.0
416.1715731976141,3.0
416.21620716866784,4.0
416.2632349788121,3.0
416.7878598017587,4.0
416.85283576873763,3.0
416.86355863074624,4.0
416.8784466481954,5.0
416.89851634789983,4.0
416.9282957891576,3.0
417.02204138723437,4.0
417.09107689743155,3.0
417.1693582382017,2.0
417.19012466767117,1.0
417.5071163433794,2.0
417.8763270411514,1.0
418.22931808748325,2.0
418.38412597300334,1.0
418.38661054878946,0.0
418.4475929776576,1.0
418.479889815012,0.0
418.4965000787651,1.0
418.94532674739827,2.0
418.9640373036766,1.0
418.9978303685585,2.0
419.0503456129332,3.0
419.0607401608836,4.0
419.0921460848207,5.0
419.14689890665,6.0
419.1476376221017,5.0
419.1840461900738,4.0
419.2011414623055,3.0
419.30812633419407,4.0
419.3483987765297,3.0
419.6401711991204,2.0
419.88350865085516,1.0
420.12685849922724,2.0
420.1375119994669,3.0
420.2550166166315,2.0
420.40618535404803,3.0
420.4952513812635,2.0
420.66356715185987,3.0
420.6650136098702,4.0
420.67135703410327,3.0
420.67726981270755,4.0
420.8371776609674,5.0
420.8768902436627,6.0
420.87968983530897,5.0
420.8978464494627,6.0
420.901569212814,7.0
420.91285654966873,6.0
420.96957511891384,5.0
421.006309570116,6.0
421.0725787647638,7.0
421.10365024306765,6.0
421.2351742655257,5.0
421.37636435050337,6.0
421.38602715679974,5.0
421.4242305679338,6.0
421.4646866549619,5.0
421.505744869297,6.0
421.5190821051521,5.0
421.5779802428274,6.0
421.6819486273141,7.0
421.70099561236435,6.0
421.8009017051265,5.0
421.84812475742126,4.0
421.87516913206343,3.0
421.9304464312011,2.0
421.9533735599978,3.0
421.98767336587935,4.0
421.99018420989853,3.0
422.04770578988575,4.0
422.05137095206135,3.0
422.08484507431876,2.0
422.17825124883984,3.0
422.21389156678964,4.0
422.24768825461825,3.0
422.2537762093952,2.0
422.2853608682446,1.0
422.3928410299968,2.0
422.4481103151168,3.0
422.5668092170463,4.0
422.60564808039953,3.0
422.61458707902983,2.0
422.9447456138107,3.0
422.95017086324816,2.0
422.9521700587977,1.0
423.0142759831003,0.0
423.291688121127,1.0
423.36582658803263,2.0
423.38342366007737,3.0
423.4224853185601,2.0
423.64143238067845,1.0
423.71909014494395,2.0
423.7270963928168,3.0
423.7927636285834,4.0
423.8155627240324,5.0
423.8303614511966,6.0
423.83595870985533,5.0
423.9554890079148,4.0
424.0158684283473,5.0
424.033447469374,4.0
424.171351242716,3.0
424.23074691596736,2.0
424.42583786227453,1.0
424.4957201931094,2.0
424.5534018744836,3.0
424.5807971253494,4.0
424.61574250490264,5.0
424.65052374572866,6.0
424.67174166812396,5.0
424.6887959584118,4.0
424.7030395632069,3.0
424.7079846446983,4.0
424.911437052882,3.0
424.9589005915694,2.0
425.1614774419975,3.0
425.2384397296655,2.0
425.2501158775457,3.0
425.41789673179164,2.0
425.59869317986465,1.0
425.8465513928854,2.0
425.8606524575798,3.0
425.86594834875314,2.0
425.91688939946266,3.0
425.9375683759083,4.0
426.0476004411284,3.0
426.12380321418175,4.0
426.20380716201646,5.0
426.25325633646133,6.0
426.29602942954426,5.0
426.30727185953214,6.0
426.4818452224089,5.0
426.4818452224089,6.0
426.6408833404841,5.0
426.6408833404841,6.0
426.6571487114282,5.0
426.6571487114282,6.0
426.795989417019,5.0
426.795989417019,6.0
426.82259887512953,7.0
426.91033218753165,6.0
426.91033218753165,7.0
426.9151001314967,6.0
426.9151001314967,7.0
426.93074763946737,6.0
427.0431002238643,7.0
427.0458408522763,6.0
427.0845414493979,7.0
427.10493662066597,6.0
427.1549787803635,7.0
427.19789304112606,6.0
427.2115113659394,5.0
427.21445131746935,6.0
427.25794806719915,5.0
427.28233708416303,4.0
427.3215568567904,3.0
427.5148410487171,4.0
427.54031394308663,3.0
427.7044509287832,2.0
427.7082259875556,3.0
427.7124726706193,4.0
427.73902962175725,5.0
427.765650173968,4.0
